Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
5600000000.000000	72.204	73.245
5650000000.000000	72.442	72.696
5700000000.000000	69.819	72.647
5750000000.000000	71.000	72.714
5800000000.000000	68.276	71.794
5850000000.000000	81.006	72.162
5900000000.000000	80.819	71.721
5950000000.000000	80.195	71.144
6000000000.000000	78.717	70.418
6050000000.000000	77.201	70.058
6100000000.000000	70.050	69.710
6150000000.000000	65.861	69.084
6200000000.000000	70.289	71.145
6250000000.000000	71.903	70.330
6300000000.000000	67.721	69.578
6350000000.000000	65.462	69.568
6400000000.000000	64.652	67.848
6450000000.000000	61.896	68.187
6500000000.000000	66.204	69.842
6550000000.000000	72.050	69.231
6600000000.000000	73.148	70.101
6650000000.000000	77.020	70.731
6700000000.000000	66.513	70.296
6750000000.000000	70.551	68.700
6800000000.000000	67.911	67.740
6850000000.000000	83.994	69.176
6900000000.000000	77.273	70.665
6950000000.000000	85.520	71.126
7000000000.000000	65.530	69.546
7050000000.000000	62.653	69.817
7100000000.000000	75.305	69.275
7150000000.000000	77.376	69.191
7200000000.000000	64.045	68.070
7250000000.000000	67.283	68.734
7300000000.000000	74.862	68.512
7350000000.000000	67.615	66.670
7400000000.000000	69.983	64.673
7450000000.000000	73.411	64.621
7500000000.000000	72.617	69.190
7550000000.000000	65.274	69.531
7600000000.000000	60.536	67.484
7650000000.000000	67.345	67.839
7700000000.000000	63.005	65.679
7750000000.000000	75.031	66.673
7800000000.000000	72.856	65.928
7850000000.000000	70.929	64.024
7900000000.000000	61.187	65.492
7950000000.000000	78.534	65.690
8000000000.000000	41.194	63.805
8050000000.000000	73.790	61.764
8100000000.000000	76.837	62.584
8150000000.000000	66.400	62.680
8200000000.000000	57.357	63.605
8250000000.000000	56.655	62.002
8300000000.000000	64.315	60.736
8350000000.000000	54.190	60.650
8400000000.000000	57.861	61.326
8450000000.000000	70.810	61.266
8500000000.000000	54.995	60.730
8550000000.000000	59.027	60.980
8600000000.000000	64.675	62.806
8650000000.000000	60.419	61.403
8700000000.000000	62.821	60.086
8750000000.000000	59.564	60.096
8800000000.000000	58.328	60.752
8850000000.000000	61.595	60.157
8900000000.000000	58.251	58.429
8950000000.000000	48.203	57.969
9000000000.000000	60.169	59.239
9050000000.000000	58.623	59.276
9100000000.000000	67.615	58.514
9150000000.000000	66.558	58.438
9200000000.000000	68.533	60.155
9250000000.000000	58.063	58.579
9300000000.000000	67.446	59.656
9350000000.000000	56.883	60.592
9400000000.000000	53.480	60.150
9450000000.000000	72.935	59.615
9500000000.000000	63.568	59.472
9550000000.000000	62.356	60.090
9600000000.000000	69.801	60.478
9650000000.000000	61.878	61.385
9700000000.000000	49.899	61.900
9750000000.000000	62.147	61.497
9800000000.000000	63.294	62.286
9850000000.000000	56.988	61.442
9900000000.000000	59.572	61.439
9950000000.000000	73.304	60.358
10000000000.000000	67.579	62.601
10050000000.000000	59.359	63.064
10100000000.000000	47.376	62.050
10150000000.000000	53.175	62.814
10200000000.000000	62.998	62.797
10250000000.000000	66.995	63.243
10300000000.000000	67.175	63.230
10350000000.000000	63.990	63.877
10400000000.000000	56.616	63.542
10450000000.000000	65.215	63.313
10500000000.000000	64.274	63.266
10550000000.000000	59.900	63.608
10600000000.000000	67.194	62.985
10650000000.000000	61.027	64.263
10700000000.000000	53.360	63.386
10750000000.000000	77.862	63.528
10800000000.000000	72.665	62.920
10850000000.000000	69.287	62.377
10900000000.000000	66.898	62.878
10950000000.000000	66.447	61.376
11000000000.000000	57.998	61.429
11050000000.000000	56.600	61.116
11100000000.000000	57.464	61.307
11150000000.000000	70.061	61.881
11200000000.000000	69.817	61.401
11250000000.000000	57.215	61.150
11300000000.000000	53.849	62.448
11350000000.000000	61.641	59.993
11400000000.000000	70.485	58.621
11450000000.000000	67.290	58.628
11500000000.000000	75.958	59.883
11550000000.000000	67.820	59.665
11600000000.000000	64.215	58.591
11650000000.000000	59.962	58.467
11700000000.000000	50.315	57.708
11750000000.000000	48.376	58.503
11800000000.000000	54.589	57.896
11850000000.000000	52.753	57.919
11900000000.000000	54.732	57.948
11950000000.000000	57.428	56.834
12000000000.000000	64.813	57.175
12050000000.000000	52.864	57.283
12100000000.000000	62.296	57.676
12150000000.000000	55.497	57.366
12200000000.000000	64.672	57.966
12250000000.000000	61.361	57.763
12300000000.000000	53.433	56.636
