Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
2900000000	32.701	45.089377	44.909	45.008	7.591
2950000000	58.742	46.627305	46.860	47.173	7.455
3000000000	37.014	46.898921	46.692	47.077	8.043
3050000000	43.074	45.073889	45.004	45.313	7.774
3100000000	57.022	44.838692	44.918	44.546	7.177
3150000000	50.054	45.082327	45.106	44.625	7.886
3200000000	31.494	43.906383	43.610	43.913	8.181
3250000000	47.587	44.389688	44.415	44.674	8.135
3300000000	30.438	43.835637	43.773	44.067	7.170
3350000000	44.124	43.945389	43.950	44.133	8.730
3400000000	45.291	42.964785	43.037	43.556	7.341
3450000000	35.286	41.017448	40.720	40.818	7.550
3500000000	30.144	42.845279	42.811	42.363	7.769
3550000000	36.877	43.714173	43.633	42.251	8.332
3600000000	43.044	43.708038	43.707	43.581	7.045
3650000000	48.598	43.876399	43.944	43.219	7.544
3700000000	46.648	44.559190	44.582	44.091	7.485
3750000000	40.404	43.816123	43.773	43.468	8.430
3800000000	37.457	44.693419	44.599	44.498	7.392
3850000000	49.196	43.614401	43.623	43.310	8.952
3900000000	52.437	43.716137	43.830	43.694	7.606
3950000000	42.406	43.074235	43.070	43.615	8.564
4000000000	42.331	43.829607	43.823	44.075	6.604
4050000000	51.459	43.890893	44.110	44.771	8.605
4100000000	43.372	42.657772	42.671	43.334	8.137
4150000000	30.128	42.289643	42.023	42.075	7.865
4200000000	25.528	42.390784	42.081	42.280	7.739
4250000000	37.664	43.216493	43.173	42.703	7.631
4300000000	42.095	44.076596	44.040	43.626	8.771
4350000000	37.453	42.940299	42.823	42.256	8.319
4400000000	38.829	41.997240	41.809	41.755	8.253
4450000000	42.339	42.803054	42.797	43.031	9.977
4500000000	22.975	42.812105	42.426	42.047	8.061
4550000000	53.574	41.648194	41.756	41.393	9.414
4600000000	30.864	42.382027	42.360	41.921	6.518
4650000000	35.667	43.242390	43.094	41.953	8.196
4700000000	43.916	42.468324	42.485	42.748	7.961
4750000000	45.439	41.043717	41.116	40.163	7.635
4800000000	23.479	39.766034	39.743	39.757	9.044
4850000000	46.024	41.234873	41.361	41.887	7.587
4900000000	43.456	42.554379	42.558	42.873	7.717
4950000000	42.908	42.645050	42.645	42.424	7.176
5000000000	29.694	39.618817	39.469	39.477	7.169
5050000000	49.575	40.486519	40.643	39.786	7.596
5100000000	57.847	40.270421	40.344	39.489	7.378
5150000000	46.214	40.517924	40.538	39.963	6.269
5200000000	40.794	40.026972	40.092	39.785	7.403
5250000000	36.375	40.321958	40.244	40.624	8.093
5300000000	53.507	40.383417	40.438	40.273	7.307
5350000000	45.590	39.710657	39.768	39.171	6.935
5400000000	25.523	38.363578	38.264	38.535	8.151
5450000000	36.639	38.424317	38.420	38.781	7.847
5500000000	38.435	39.185814	39.175	39.077	7.406
5550000000	31.934	40.198463	40.082	39.668	7.009
5600000000	48.324	39.019791	39.061	38.996	7.136
5650000000	27.871	37.951472	37.380	37.222	7.998
5700000000	38.091	38.243969	38.242	37.044	9.141
5750000000	34.379	38.164984	38.135	38.297	7.731
5800000000	24.109	38.435031	38.164	37.990	6.411
5850000000	43.111	36.916778	37.133	38.089	9.739
5900000000	38.374	35.875087	35.905	35.769	7.814
5950000000	35.771	37.203934	37.178	36.856	8.110
6000000000	42.765	35.583463	35.798	35.486	7.629
6050000000	39.527	34.639198	34.691	34.468	8.709
6100000000	40.307	34.827786	34.875	34.814	7.951
6150000000	30.530	34.986003	34.967	35.195	8.011
6200000000	48.499	34.901177	34.976	35.510	7.133
6250000000	46.305	33.395709	33.625	34.171	8.331
6300000000	41.573	33.748355	33.868	34.605	9.251
6350000000	37.439	33.328554	33.369	32.838	7.653
6400000000	30.512	31.463851	31.444	30.706	7.592
6450000000	37.159	30.510112	30.543	30.773	8.961
6500000000	40.559	32.147668	32.189	32.016	8.595
6550000000	27.304	31.801853	31.681	32.401	7.690
6600000000	36.857	32.115531	32.228	32.322	8.112
6650000000	26.644	30.729355	30.671	30.904	8.877
6700000000	28.314	29.443262	29.429	28.540	8.883
6750000000	43.005	28.239107	28.319	27.995	7.068
6800000000	22.492	28.867918	28.582	28.555	8.505
6850000000	30.613	29.904639	29.935	30.442	7.525
6900000000	43.213	29.356522	29.708	29.885	8.018
6950000000	41.533	29.466025	29.689	29.971	8.828
7000000000	34.634	28.101593	28.125	27.883	7.590
7050000000	17.311	28.578272	28.509	28.873	8.640
7100000000	26.936	26.648115	26.655	26.496	7.166
7150000000	28.823	26.680726	26.798	26.365	8.799
7200000000	23.711	26.961580	26.920	27.025	8.031
7250000000	29.708	27.006899	27.054	27.838	7.708
7300000000	27.292	26.190043	26.211	25.677	7.252
7350000000	23.892	24.838411	24.824	25.041	7.619
7400000000	27.113	23.983584	24.073	24.585	8.024
7450000000	31.022	24.087707	24.334	24.565	8.175
7500000000	33.240	24.477734	24.723	25.031	6.845
7550000000	29.462	22.624171	22.696	22.460	7.110
7600000000	20.736	23.583402	23.533	23.514	6.990
7650000000	17.082	22.355795	22.260	22.349	8.303
7700000000	15.391	20.262332	20.139	20.182	7.445
