Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
4900000000.000000	60.610	62.999
4950000000.000000	67.232	62.760
5000000000.000000	71.875	63.429
5050000000.000000	73.655	62.930
5100000000.000000	69.467	64.572
5150000000.000000	75.737	63.457
5200000000.000000	68.035	61.642
5250000000.000000	74.143	61.200
5300000000.000000	70.453	62.234
5350000000.000000	68.020	64.821
5400000000.000000	68.383	63.358
5450000000.000000	68.303	64.876
5500000000.000000	76.601	63.498
5550000000.000000	68.269	64.363
5600000000.000000	77.206	64.089
5650000000.000000	77.704	63.101
5700000000.000000	74.788	63.401
5750000000.000000	80.320	64.342
5800000000.000000	78.702	63.272
5850000000.000000	76.221	64.054
5900000000.000000	83.245	63.733
5950000000.000000	82.507	62.810
6000000000.000000	80.588	62.837
6050000000.000000	83.448	60.990
6100000000.000000	77.540	60.932
6150000000.000000	79.475	59.959
6200000000.000000	77.077	62.227
6250000000.000000	76.279	61.506
6300000000.000000	73.170	60.845
6350000000.000000	75.482	60.082
6400000000.000000	71.780	60.704
6450000000.000000	74.430	59.852
6500000000.000000	76.871	61.611
6550000000.000000	82.795	61.038
6600000000.000000	80.625	62.118
6650000000.000000	89.363	62.474
6700000000.000000	78.639	61.460
6750000000.000000	81.019	59.920
6800000000.000000	79.308	60.251
6850000000.000000	88.550	60.479
6900000000.000000	82.054	62.466
6950000000.000000	90.762	61.685
7000000000.000000	80.498	61.660
7050000000.000000	85.583	60.958
7100000000.000000	84.819	60.886
7150000000.000000	83.999	60.081
7200000000.000000	79.965	59.905
7250000000.000000	77.715	60.501
7300000000.000000	86.201	60.676
7350000000.000000	82.173	58.169
7400000000.000000	79.619	56.620
7450000000.000000	82.139	57.273
7500000000.000000	79.809	60.819
7550000000.000000	77.755	60.895
7600000000.000000	76.536	59.933
7650000000.000000	84.639	60.042
7700000000.000000	78.784	59.312
7750000000.000000	83.582	58.495
7800000000.000000	87.840	57.652
7850000000.000000	87.866	56.586
7900000000.000000	78.298	57.002
7950000000.000000	82.918	58.005
8000000000.000000	75.779	55.978
8050000000.000000	88.183	54.969
8100000000.000000	90.804	55.356
8150000000.000000	81.582	53.699
8200000000.000000	78.109	55.835
8250000000.000000	73.950	54.906
8300000000.000000	79.052	53.461
8350000000.000000	85.557	53.978
8400000000.000000	73.591	53.379
8450000000.000000	76.388	53.828
8500000000.000000	77.786	53.820
8550000000.000000	77.611	54.441
8600000000.000000	80.686	55.209
8650000000.000000	70.878	53.327
8700000000.000000	75.974	53.653
8750000000.000000	76.511	52.493
8800000000.000000	73.104	53.355
8850000000.000000	73.873	52.173
8900000000.000000	76.653	50.868
8950000000.000000	73.629	50.974
9000000000.000000	70.081	53.251
9050000000.000000	72.312	51.750
9100000000.000000	79.735	51.212
9150000000.000000	84.456	51.695
9200000000.000000	82.930	53.209
9250000000.000000	73.883	52.844
9300000000.000000	75.521	53.155
9350000000.000000	73.590	53.102
9400000000.000000	68.808	53.665
9450000000.000000	79.647	52.475
9500000000.000000	70.894	52.281
9550000000.000000	68.409	53.201
9600000000.000000	79.509	54.008
9650000000.000000	71.036	54.969
9700000000.000000	70.179	55.165
9750000000.000000	71.918	54.432
9800000000.000000	74.480	56.073
9850000000.000000	68.737	55.080
9900000000.000000	69.790	54.709
9950000000.000000	79.178	54.012
10000000000.000000	75.354	55.578
10050000000.000000	69.505	56.594
10100000000.000000	69.856	55.336
10150000000.000000	71.477	56.751
10200000000.000000	82.726	57.201
10250000000.000000	77.405	57.470
10300000000.000000	72.220	58.649
10350000000.000000	75.883	57.927
10400000000.000000	66.795	57.625
10450000000.000000	75.112	57.812
10500000000.000000	74.800	58.762
10550000000.000000	60.071	58.809
10600000000.000000	78.332	58.281
10650000000.000000	66.849	57.839
10700000000.000000	75.891	58.233
10750000000.000000	76.555	58.314
10800000000.000000	78.978	58.078
10850000000.000000	79.031	56.170
10900000000.000000	73.197	56.762
10950000000.000000	77.909	56.911
11000000000.000000	77.402	57.289
11050000000.000000	73.988	57.151
11100000000.000000	69.178	56.994
11150000000.000000	91.899	57.842
11200000000.000000	81.646	57.557
11250000000.000000	64.515	56.938
11300000000.000000	70.237	56.308
11350000000.000000	75.475	56.553
11400000000.000000	66.454	54.477
11450000000.000000	80.787	55.226
11500000000.000000	80.684	54.998
11550000000.000000	72.370	55.219
11600000000.000000	75.071	55.106
11650000000.000000	65.067	54.321
11700000000.000000	79.408	53.865
11750000000.000000	71.928	54.146
11800000000.000000	69.817	54.240
11850000000.000000	65.275	54.244
11900000000.000000	65.481	53.952
11950000000.000000	72.083	53.589
12000000000.000000	73.774	52.723
12050000000.000000	64.048	53.700
12100000000.000000	75.999	54.549
12150000000.000000	65.223	53.307
12200000000.000000	67.109	54.598
12250000000.000000	69.021	55.038
12300000000.000000	63.548	53.898
12350000000.000000	74.868	53.638
12400000000.000000	89.388	53.263
12450000000.000000	75.188	52.744
12500000000.000000	75.346	54.487
12550000000.000000	74.655	53.380
12600000000.000000	70.314	55.123
12650000000.000000	76.857	53.493
12700000000.000000	66.163	54.590
12750000000.000000	71.819	53.347
12800000000.000000	75.226	54.437
12850000000.000000	76.800	54.014
12900000000.000000	84.666	54.581
12950000000.000000	68.204	54.399
13000000000.000000	75.890	54.637
13050000000.000000	76.329	54.562
13100000000.000000	76.196	55.797
13150000000.000000	66.379	55.080
13200000000.000000	67.870	54.349
13250000000.000000	64.604	56.411
13300000000.000000	70.266	56.426
13350000000.000000	69.486	56.356
13400000000.000000	70.149	55.443
13450000000.000000	73.385	56.310
13500000000.000000	77.937	55.895
13550000000.000000	73.532	55.570
13600000000.000000	79.577	56.287
13650000000.000000	73.981	56.102
13700000000.000000	73.235	56.802
13750000000.000000	77.958	56.341
13800000000.000000	81.245	55.651
13850000000.000000	73.637	55.437
13900000000.000000	75.770	56.655
13950000000.000000	78.713	58.132
14000000000.000000	78.562	57.636
14050000000.000000	76.852	56.794
14100000000.000000	70.455	55.108
14150000000.000000	76.514	54.893
14200000000.000000	64.945	57.154
14250000000.000000	72.880	56.859
14300000000.000000	77.959	55.279
14350000000.000000	86.228	55.343
14400000000.000000	75.677	56.488
14450000000.000000	76.835	57.308
14500000000.000000	72.973	56.611
14550000000.000000	72.281	54.823
14600000000.000000	83.753	56.143
14650000000.000000	78.048	56.456
14700000000.000000	75.216	57.021
14750000000.000000	73.401	54.754
14800000000.000000	66.839	55.706
14850000000.000000	65.865	56.094
14900000000.000000	68.719	55.972
14950000000.000000	78.323	55.860
15000000000.000000	71.729	55.046
15050000000.000000	94.023	55.568
15100000000.000000	77.451	56.611
15150000000.000000	76.734	55.636
15200000000.000000	72.721	57.222
15250000000.000000	70.680	54.345
15300000000.000000	77.601	56.452
15350000000.000000	84.279	57.490
15400000000.000000	79.716	57.324
15450000000.000000	68.994	54.977
15500000000.000000	72.278	56.108
15550000000.000000	65.159	57.271
15600000000.000000	81.516	57.762
15650000000.000000	63.824	55.400
15700000000.000000	69.464	56.117
15750000000.000000	58.898	56.629
15800000000.000000	79.467	56.969
15850000000.000000	70.485	55.365
15900000000.000000	71.599	55.040
15950000000.000000	78.483	56.719
16000000000.000000	73.064	57.525
16050000000.000000	94.266	57.963
16100000000.000000	89.591	57.220
16150000000.000000	71.210	56.619
16200000000.000000	78.994	57.288
16250000000.000000	76.049	56.719
16300000000.000000	72.834	57.523
16350000000.000000	68.207	56.796
16400000000.000000	68.692	55.145
16450000000.000000	81.244	57.112
16500000000.000000	69.016	58.274
16550000000.000000	69.873	58.561
16600000000.000000	76.814	57.774
16650000000.000000	77.596	58.228
16700000000.000000	83.003	58.032
16750000000.000000	61.436	57.587
16800000000.000000	76.440	56.287
16850000000.000000	74.442	57.118
16900000000.000000	61.123	57.966
16950000000.000000	72.880	58.658
17000000000.000000	67.445	59.464
17050000000.000000	67.456	58.862
17100000000.000000	73.597	58.297
17150000000.000000	65.420	57.892
17200000000.000000	76.354	58.135
17250000000.000000	59.744	56.600
17300000000.000000	70.432	58.486
