Freq(Hz)	Noise floor as SE unstirred(dB)	Noise floor as SE stirred(dB)
6550000000.000000	91.259	59.292
6600000000.000000	86.214	60.947
6650000000.000000	97.185	61.464
6700000000.000000	86.588	59.450
6750000000.000000	87.100	59.062
6800000000.000000	82.215	58.758
6850000000.000000	95.529	60.220
6900000000.000000	89.417	61.015
6950000000.000000	98.943	60.499
7000000000.000000	87.678	59.861
7050000000.000000	89.813	59.139
7100000000.000000	91.268	59.452
7150000000.000000	89.328	59.699
7200000000.000000	85.550	57.693
7250000000.000000	80.010	59.697
7300000000.000000	93.193	59.196
7350000000.000000	87.631	57.859
7400000000.000000	83.274	55.111
7450000000.000000	80.862	56.428
7500000000.000000	83.321	59.634
7550000000.000000	83.483	59.910
7600000000.000000	80.630	57.783
7650000000.000000	86.401	59.194
7700000000.000000	80.284	58.361
7750000000.000000	88.525	56.856
7800000000.000000	92.202	56.755
7850000000.000000	88.853	56.438
7900000000.000000	75.489	56.669
7950000000.000000	86.725	56.595
8000000000.000000	81.787	54.738
8050000000.000000	88.732	54.726
8100000000.000000	84.511	54.187
8150000000.000000	81.942	53.421
8200000000.000000	81.746	55.498
8250000000.000000	78.092	54.126
8300000000.000000	77.503	52.457
8350000000.000000	82.927	53.693
8400000000.000000	74.249	52.531
8450000000.000000	80.330	53.437
8500000000.000000	77.878	53.410
8550000000.000000	63.860	53.371
8600000000.000000	80.104	54.505
8650000000.000000	74.935	52.848
8700000000.000000	77.179	52.244
8750000000.000000	71.158	52.119
8800000000.000000	58.490	52.344
8850000000.000000	72.868	52.420
8900000000.000000	74.152	50.696
8950000000.000000	71.725	50.805
9000000000.000000	61.153	52.113
9050000000.000000	66.842	50.845
9100000000.000000	81.762	50.561
9150000000.000000	80.181	51.968
9200000000.000000	77.530	54.118
9250000000.000000	69.943	52.376
9300000000.000000	75.385	51.894
9350000000.000000	73.048	53.143
9400000000.000000	71.568	51.974
9450000000.000000	72.637	53.484
9500000000.000000	66.873	52.184
9550000000.000000	68.704	53.356
9600000000.000000	79.351	53.591
9650000000.000000	73.242	55.154
9700000000.000000	69.352	55.067
9750000000.000000	71.299	55.113
9800000000.000000	72.938	54.942
9850000000.000000	73.117	55.492
9900000000.000000	62.392	55.118
9950000000.000000	83.792	54.267
10000000000.000000	77.867	56.261
10050000000.000000	74.833	56.927
